onset	duration	trial_type	value	sample	stim_file
349.696	n/a	block_start	300	2732	n/a
354.688	n/a	fixation_cross	312	2771	n/a
355.712	n/a	tool_image	1	2779	tools/broom_PNG58.png
356.224	n/a	mask	701	2783	n/a
356.864	n/a	blank_white_screen	705	2788	n/a
357.376	n/a	tool_auditory_imagery_task	603	2792	n/a
360.32	n/a	blank_white_screen	705	2815	n/a
360.576	n/a	tool_silent_naming_task	601	2817	n/a
363.52	n/a	blank_white_screen	705	2840	n/a
363.776	n/a	tool_visual_imagery_task	602	2842	n/a
366.72	n/a	blank_white_screen	705	2865	n/a
366.976	n/a	tool_tactile_imagery_task	604	2867	n/a
369.92	n/a	blank_black_screen	706	2890	n/a
371.968	n/a	fixation_cross	312	2906	n/a
372.992	n/a	animal_image	1	2914	animals/pig_PNG2215.png
373.504	n/a	mask	701	2918	n/a
374.144	n/a	blank_white_screen	705	2923	n/a
374.656	n/a	animal_auditory_imagery_task	603	2927	n/a
377.728	n/a	blank_white_screen	705	2951	n/a
377.856	n/a	animal_silent_naming_task	601	2952	n/a
380.8	n/a	blank_white_screen	705	2975	n/a
381.056	n/a	animal_visual_imagery_task	602	2977	n/a
384.0	n/a	blank_white_screen	705	3000	n/a
384.256	n/a	animal_tactile_imagery_task	604	3002	n/a
387.2	n/a	blank_black_screen	706	3025	n/a
389.248	n/a	fixation_cross	312	3041	n/a
390.272	n/a	animal_image	1	3049	animals/sheep_PNG2718.png
390.912	n/a	mask	701	3054	n/a
391.552	n/a	blank_white_screen	705	3059	n/a
392.064	n/a	animal_auditory_imagery_task	603	3063	n/a
395.008	n/a	blank_white_screen	705	3086	n/a
395.264	n/a	animal_silent_naming_task	601	3088	n/a
398.208	n/a	blank_white_screen	705	3111	n/a
398.464	n/a	animal_visual_imagery_task	602	3113	n/a
401.408	n/a	blank_white_screen	705	3136	n/a
401.664	n/a	animal_tactile_imagery_task	604	3138	n/a
404.608	n/a	blank_black_screen	706	3161	n/a
406.656	n/a	fixation_cross	312	3177	n/a
408.576	n/a	animal_image	1	3192	animals/owl_PNG26.png
409.216	n/a	mask	701	3197	n/a
409.728	n/a	blank_white_screen	705	3201	n/a
410.24	n/a	animal_auditory_imagery_task	603	3205	n/a
413.312	n/a	blank_white_screen	705	3229	n/a
413.44	n/a	animal_silent_naming_task	601	3230	n/a
416.512	n/a	blank_white_screen	705	3254	n/a
416.64	n/a	animal_visual_imagery_task	602	3255	n/a
419.712	n/a	blank_white_screen	705	3279	n/a
419.84	n/a	animal_tactile_imagery_task	604	3280	n/a
422.912	n/a	blank_black_screen	706	3304	n/a
424.832	n/a	fixation_cross	312	3319	n/a
426.24	n/a	animal_image	1	3330	animals/tiger_PNG23242.png
426.752	n/a	mask	701	3334	n/a
427.392	n/a	blank_white_screen	705	3339	n/a
427.904	n/a	animal_auditory_imagery_task	603	3343	n/a
430.848	n/a	blank_white_screen	705	3366	n/a
431.104	n/a	animal_silent_naming_task	601	3368	n/a
434.048	n/a	blank_white_screen	705	3391	n/a
434.304	n/a	animal_visual_imagery_task	602	3393	n/a
437.248	n/a	blank_white_screen	705	3416	n/a
437.504	n/a	animal_tactile_imagery_task	604	3418	n/a
440.448	n/a	blank_black_screen	706	3441	n/a
442.496	n/a	fixation_cross	312	3457	n/a
444.16	n/a	tool_image	1	3470	tools/hand_saw_PNG9540.png
444.8	n/a	mask	701	3475	n/a
445.312	n/a	blank_white_screen	705	3479	n/a
445.824	n/a	tool_auditory_imagery_task	603	3483	n/a
448.896	n/a	blank_white_screen	705	3507	n/a
449.024	n/a	tool_silent_naming_task	601	3508	n/a
452.096	n/a	blank_white_screen	705	3532	n/a
452.224	n/a	tool_visual_imagery_task	602	3533	n/a
455.296	n/a	blank_white_screen	705	3557	n/a
455.424	n/a	tool_tactile_imagery_task	604	3558	n/a
458.496	n/a	blank_black_screen	706	3582	n/a
460.416	n/a	fixation_cross	312	3597	n/a
462.08	n/a	animal_image	1	3610	animals/cow_PNG50606.png
462.592	n/a	mask	701	3614	n/a
463.232	n/a	blank_white_screen	705	3619	n/a
463.744	n/a	animal_auditory_imagery_task	603	3623	n/a
466.816	n/a	blank_white_screen	705	3647	n/a
466.944	n/a	animal_silent_naming_task	601	3648	n/a
470.016	n/a	blank_white_screen	705	3672	n/a
470.144	n/a	animal_visual_imagery_task	602	3673	n/a
473.216	n/a	blank_white_screen	705	3697	n/a
473.344	n/a	animal_tactile_imagery_task	604	3698	n/a
476.416	n/a	blank_black_screen	706	3722	n/a
478.336	n/a	fixation_cross	312	3737	n/a
479.616	n/a	animal_image	1	3747	animals/dog_PNG50396.png
480.256	n/a	mask	701	3752	n/a
480.896	n/a	blank_white_screen	705	3757	n/a
481.408	n/a	animal_auditory_imagery_task	603	3761	n/a
484.352	n/a	blank_white_screen	705	3784	n/a
484.608	n/a	animal_silent_naming_task	601	3786	n/a
487.552	n/a	blank_white_screen	705	3809	n/a
487.808	n/a	animal_visual_imagery_task	602	3811	n/a
490.752	n/a	blank_white_screen	705	3834	n/a
491.008	n/a	animal_tactile_imagery_task	604	3836	n/a
493.952	n/a	blank_black_screen	706	3859	n/a
496.0	n/a	fixation_cross	312	3875	n/a
497.152	n/a	animal_image	1	3884	animals/sheep_PNG2718.png
497.664	n/a	mask	701	3888	n/a
498.304	n/a	blank_white_screen	705	3893	n/a
498.816	n/a	animal_auditory_imagery_task	603	3897	n/a
501.76	n/a	blank_white_screen	705	3920	n/a
502.016	n/a	animal_silent_naming_task	601	3922	n/a
504.96	n/a	blank_white_screen	705	3945	n/a
505.216	n/a	animal_visual_imagery_task	602	3947	n/a
508.16	n/a	blank_white_screen	705	3970	n/a
508.416	n/a	animal_tactile_imagery_task	604	3972	n/a
511.36	n/a	blank_black_screen	706	3995	n/a
513.408	n/a	fixation_cross	312	4011	n/a
515.328	n/a	animal_image	1	4026	animals/cock_PNG21.png
515.968	n/a	mask	701	4031	n/a
516.608	n/a	blank_white_screen	705	4036	n/a
516.992	n/a	animal_auditory_imagery_task	603	4039	n/a
520.064	n/a	blank_white_screen	705	4063	n/a
520.192	n/a	animal_silent_naming_task	601	4064	n/a
523.264	n/a	blank_white_screen	705	4088	n/a
523.392	n/a	animal_visual_imagery_task	602	4089	n/a
526.464	n/a	blank_white_screen	705	4113	n/a
526.592	n/a	animal_tactile_imagery_task	604	4114	n/a
529.664	n/a	blank_black_screen	706	4138	n/a
531.584	n/a	fixation_cross	312	4153	n/a
533.376	n/a	animal_image	1	4167	animals/duck_PNG5028.png
534.016	n/a	mask	701	4172	n/a
534.656	n/a	blank_white_screen	705	4177	n/a
535.168	n/a	animal_auditory_imagery_task	603	4181	n/a
538.112	n/a	blank_white_screen	705	4204	n/a
538.368	n/a	animal_silent_naming_task	601	4206	n/a
541.312	n/a	blank_white_screen	705	4229	n/a
541.568	n/a	animal_visual_imagery_task	602	4231	n/a
544.512	n/a	blank_white_screen	705	4254	n/a
544.768	n/a	animal_tactile_imagery_task	604	4256	n/a
547.712	n/a	blank_black_screen	706	4279	n/a
549.76	n/a	fixation_cross	312	4295	n/a
551.424	n/a	tool_image	1	4308	tools/bottle_opener_PNG24.png
552.064	n/a	mask	701	4313	n/a
552.704	n/a	blank_white_screen	705	4318	n/a
553.088	n/a	tool_auditory_imagery_task	603	4321	n/a
556.16	n/a	blank_white_screen	705	4345	n/a
556.288	n/a	tool_silent_naming_task	601	4346	n/a
559.36	n/a	blank_white_screen	705	4370	n/a
559.488	n/a	tool_visual_imagery_task	602	4371	n/a
562.56	n/a	blank_white_screen	705	4395	n/a
562.688	n/a	tool_tactile_imagery_task	604	4396	n/a
565.76	n/a	blank_black_screen	706	4420	n/a
567.68	n/a	blank_white_screen	705	4435	n/a
569.728	n/a	short_break	702	4451	n/a
599.68	n/a	break_end	704	4685	n/a
602.112	n/a	block_start	300	4704	n/a
607.104	n/a	fixation_cross	312	4743	n/a
608.256	n/a	tool_image	1	4752	tools/vacuum_cleaner_PNG56.png
608.768	n/a	mask	701	4756	n/a
609.408	n/a	blank_white_screen	705	4761	n/a
609.92	n/a	tool_tactile_imagery_task	604	4765	n/a
612.864	n/a	blank_white_screen	705	4788	n/a
613.12	n/a	tool_visual_imagery_task	602	4790	n/a
616.064	n/a	blank_white_screen	705	4813	n/a
616.32	n/a	tool_auditory_imagery_task	603	4815	n/a
619.264	n/a	blank_white_screen	705	4838	n/a
619.52	n/a	tool_silent_naming_task	601	4840	n/a
622.464	n/a	blank_black_screen	706	4863	n/a
624.512	n/a	fixation_cross	312	4879	n/a
626.304	n/a	tool_image	1	4893	tools/broom_PNG58.png
626.944	n/a	mask	701	4898	n/a
627.456	n/a	blank_white_screen	705	4902	n/a
627.968	n/a	tool_tactile_imagery_task	604	4906	n/a
631.04	n/a	blank_white_screen	705	4930	n/a
631.168	n/a	tool_visual_imagery_task	602	4931	n/a
634.24	n/a	blank_white_screen	705	4955	n/a
634.368	n/a	tool_auditory_imagery_task	603	4956	n/a
637.44	n/a	blank_white_screen	705	4980	n/a
637.568	n/a	tool_silent_naming_task	601	4981	n/a
640.64	n/a	blank_black_screen	706	5005	n/a
642.56	n/a	fixation_cross	312	5020	n/a
643.968	n/a	animal_image	1	5031	animals/elephants_PNG18808.png
644.608	n/a	mask	701	5036	n/a
645.248	n/a	blank_white_screen	705	5041	n/a
645.632	n/a	animal_tactile_imagery_task	604	5044	n/a
648.704	n/a	blank_white_screen	705	5068	n/a
648.832	n/a	animal_visual_imagery_task	602	5069	n/a
651.904	n/a	blank_white_screen	705	5093	n/a
652.032	n/a	animal_auditory_imagery_task	603	5094	n/a
655.104	n/a	blank_white_screen	705	5118	n/a
655.232	n/a	animal_silent_naming_task	601	5119	n/a
658.304	n/a	blank_black_screen	706	5143	n/a
660.352	n/a	fixation_cross	312	5159	n/a
661.888	n/a	tool_image	1	5171	tools/hand_saw_PNG9540.png
662.528	n/a	mask	701	5176	n/a
663.04	n/a	blank_white_screen	705	5180	n/a
663.552	n/a	tool_tactile_imagery_task	604	5184	n/a
666.624	n/a	blank_white_screen	705	5208	n/a
666.752	n/a	tool_visual_imagery_task	602	5209	n/a
669.824	n/a	blank_white_screen	705	5233	n/a
669.952	n/a	tool_auditory_imagery_task	603	5234	n/a
673.024	n/a	blank_white_screen	705	5258	n/a
673.152	n/a	tool_silent_naming_task	601	5259	n/a
676.224	n/a	blank_black_screen	706	5283	n/a
678.144	n/a	fixation_cross	312	5298	n/a
679.936	n/a	animal_image	1	5312	animals/bear_PNG23456.png
680.576	n/a	mask	701	5317	n/a
681.216	n/a	blank_white_screen	705	5322	n/a
681.728	n/a	animal_tactile_imagery_task	604	5326	n/a
684.672	n/a	blank_white_screen	705	5349	n/a
684.928	n/a	animal_visual_imagery_task	602	5351	n/a
687.872	n/a	blank_white_screen	705	5374	n/a
688.128	n/a	animal_auditory_imagery_task	603	5376	n/a
691.072	n/a	blank_white_screen	705	5399	n/a
691.328	n/a	animal_silent_naming_task	601	5401	n/a
694.272	n/a	blank_black_screen	706	5424	n/a
696.32	n/a	fixation_cross	312	5440	n/a
698.112	n/a	animal_image	1	5454	animals/dog_PNG50396.png
698.752	n/a	mask	701	5459	n/a
699.264	n/a	blank_white_screen	705	5463	n/a
699.776	n/a	animal_tactile_imagery_task	604	5467	n/a
702.848	n/a	blank_white_screen	705	5491	n/a
702.976	n/a	animal_visual_imagery_task	602	5492	n/a
706.048	n/a	blank_white_screen	705	5516	n/a
706.176	n/a	animal_auditory_imagery_task	603	5517	n/a
709.248	n/a	blank_white_screen	705	5541	n/a
709.376	n/a	animal_silent_naming_task	601	5542	n/a
712.448	n/a	blank_black_screen	706	5566	n/a
714.368	n/a	fixation_cross	312	5581	n/a
715.648	n/a	animal_image	1	5591	animals/crow_PNG3114.png
716.288	n/a	mask	701	5596	n/a
716.928	n/a	blank_white_screen	705	5601	n/a
717.312	n/a	animal_tactile_imagery_task	604	5604	n/a
720.384	n/a	blank_white_screen	705	5628	n/a
720.512	n/a	animal_visual_imagery_task	602	5629	n/a
723.584	n/a	blank_white_screen	705	5653	n/a
723.712	n/a	animal_auditory_imagery_task	603	5654	n/a
726.784	n/a	blank_white_screen	705	5678	n/a
726.912	n/a	animal_silent_naming_task	601	5679	n/a
729.984	n/a	blank_black_screen	706	5703	n/a
731.904	n/a	fixation_cross	312	5718	n/a
733.824	n/a	animal_image	1	5733	animals/crab_PNG37.png
734.336	n/a	mask	701	5737	n/a
734.976	n/a	blank_white_screen	705	5742	n/a
735.488	n/a	animal_tactile_imagery_task	604	5746	n/a
738.432	n/a	blank_white_screen	705	5769	n/a
738.688	n/a	animal_visual_imagery_task	602	5771	n/a
741.632	n/a	blank_white_screen	705	5794	n/a
741.888	n/a	animal_auditory_imagery_task	603	5796	n/a
744.832	n/a	blank_white_screen	705	5819	n/a
745.088	n/a	animal_silent_naming_task	601	5821	n/a
748.032	n/a	blank_black_screen	706	5844	n/a
750.08	n/a	fixation_cross	312	5860	n/a
751.104	n/a	animal_image	1	5868	animals/frog_PNG35767.png
751.744	n/a	mask	701	5873	n/a
752.256	n/a	blank_white_screen	705	5877	n/a
752.768	n/a	animal_tactile_imagery_task	604	5881	n/a
755.84	n/a	blank_white_screen	705	5905	n/a
755.968	n/a	animal_visual_imagery_task	602	5906	n/a
759.04	n/a	blank_white_screen	705	5930	n/a
759.168	n/a	animal_auditory_imagery_task	603	5931	n/a
762.24	n/a	blank_white_screen	705	5955	n/a
762.368	n/a	animal_silent_naming_task	601	5956	n/a
765.44	n/a	blank_black_screen	706	5980	n/a
767.36	n/a	fixation_cross	312	5995	n/a
768.896	n/a	animal_image	1	6007	animals/tiger_PNG23242.png
769.536	n/a	mask	701	6012	n/a
770.048	n/a	blank_white_screen	705	6016	n/a
770.56	n/a	animal_tactile_imagery_task	604	6020	n/a
773.632	n/a	blank_white_screen	705	6044	n/a
773.76	n/a	animal_visual_imagery_task	602	6045	n/a
776.832	n/a	blank_white_screen	705	6069	n/a
776.96	n/a	animal_auditory_imagery_task	603	6070	n/a
780.032	n/a	blank_white_screen	705	6094	n/a
780.16	n/a	animal_silent_naming_task	601	6095	n/a
783.232	n/a	blank_black_screen	706	6119	n/a
785.152	n/a	fixation_cross	312	6134	n/a
786.944	n/a	tool_image	1	6148	tools/сorkscrew_PNG43.png
787.456	n/a	mask	701	6152	n/a
788.096	n/a	blank_white_screen	705	6157	n/a
788.608	n/a	tool_tactile_imagery_task	604	6161	n/a
791.552	n/a	blank_white_screen	705	6184	n/a
791.808	n/a	tool_visual_imagery_task	602	6186	n/a
794.752	n/a	blank_white_screen	705	6209	n/a
795.008	n/a	tool_auditory_imagery_task	603	6211	n/a
797.952	n/a	blank_white_screen	705	6234	n/a
798.208	n/a	tool_silent_naming_task	601	6236	n/a
801.152	n/a	blank_black_screen	706	6259	n/a
803.2	n/a	fixation_cross	312	6275	n/a
804.736	n/a	animal_image	1	6287	animals/lion_PNG562.png
805.248	n/a	mask	701	6291	n/a
805.888	n/a	blank_white_screen	705	6296	n/a
806.4	n/a	animal_tactile_imagery_task	604	6300	n/a
809.344	n/a	blank_white_screen	705	6323	n/a
809.6	n/a	animal_visual_imagery_task	602	6325	n/a
812.544	n/a	blank_white_screen	705	6348	n/a
812.8	n/a	animal_auditory_imagery_task	603	6350	n/a
815.744	n/a	blank_white_screen	705	6373	n/a
816.0	n/a	animal_silent_naming_task	601	6375	n/a
818.944	n/a	blank_black_screen	706	6398	n/a
820.992	n/a	blank_white_screen	705	6414	n/a
823.04	n/a	short_break	702	6430	n/a
852.992	n/a	break_end	704	6664	n/a
867.584	n/a	block_start	300	6778	n/a
872.576	n/a	fixation_cross	312	6817	n/a
874.368	n/a	animal_image	1	6831	animals/frog_PNG35767.png
875.008	n/a	mask	701	6836	n/a
875.648	n/a	blank_white_screen	705	6841	n/a
876.16	n/a	animal_silent_naming_task	601	6845	n/a
879.104	n/a	blank_white_screen	705	6868	n/a
879.36	n/a	animal_auditory_imagery_task	603	6870	n/a
882.304	n/a	blank_white_screen	705	6893	n/a
882.432	n/a	animal_visual_imagery_task	602	6894	n/a
885.504	n/a	blank_white_screen	705	6918	n/a
885.632	n/a	animal_tactile_imagery_task	604	6919	n/a
888.704	n/a	blank_black_screen	706	6943	n/a
890.752	n/a	fixation_cross	312	6959	n/a
891.648	n/a	tool_image	1	6966	tools/hand_saw_PNG9540.png
892.288	n/a	mask	701	6971	n/a
892.928	n/a	blank_white_screen	705	6976	n/a
893.44	n/a	tool_silent_naming_task	601	6980	n/a
896.384	n/a	blank_white_screen	705	7003	n/a
896.64	n/a	tool_auditory_imagery_task	603	7005	n/a
899.584	n/a	blank_white_screen	705	7028	n/a
899.84	n/a	tool_visual_imagery_task	602	7030	n/a
902.784	n/a	blank_white_screen	705	7053	n/a
