name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D3 785	NIRSCWAMPLITUDE	S1	D3	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S1_D3 830	NIRSCWAMPLITUDE	S1	D3	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D1 785	NIRSCWAMPLITUDE	S2	D1	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D1 830	NIRSCWAMPLITUDE	S2	D1	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D3 785	NIRSCWAMPLITUDE	S2	D3	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S2_D3 830	NIRSCWAMPLITUDE	S2	D3	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D1 785	NIRSCWAMPLITUDE	S3	D1	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D1 830	NIRSCWAMPLITUDE	S3	D1	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D4 785	NIRSCWAMPLITUDE	S3	D4	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S3_D4 830	NIRSCWAMPLITUDE	S3	D4	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D1 785	NIRSCWAMPLITUDE	S4	D1	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D1 830	NIRSCWAMPLITUDE	S4	D1	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D2 785	NIRSCWAMPLITUDE	S4	D2	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D2 830	NIRSCWAMPLITUDE	S4	D2	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D4 785	NIRSCWAMPLITUDE	S4	D4	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S4_D4 830	NIRSCWAMPLITUDE	S4	D4	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S5_D2 785	NIRSCWAMPLITUDE	S5	D2	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S5_D2 830	NIRSCWAMPLITUDE	S5	D2	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S6_D4 785	NIRSCWAMPLITUDE	S6	D4	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S6_D4 830	NIRSCWAMPLITUDE	S6	D4	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S7_D4 785	NIRSCWAMPLITUDE	S7	D4	785.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
S7_D4 830	NIRSCWAMPLITUDE	S7	D4	830.0	V	0.0	4.464285714285714	Near Infrared Spectroscopy (continuous wave)	8.928571428571429	good	n/a
