name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	short_channel
S1_D2 785	NIRSCWAMPLITUDE	S1	D2	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S1_D2 830	NIRSCWAMPLITUDE	S1	D2	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S1_D3 785	NIRSCWAMPLITUDE	S1	D3	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S1_D3 830	NIRSCWAMPLITUDE	S1	D3	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S2_D1 785	NIRSCWAMPLITUDE	S2	D1	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S2_D1 830	NIRSCWAMPLITUDE	S2	D1	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S2_D4 785	NIRSCWAMPLITUDE	S2	D4	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S2_D4 830	NIRSCWAMPLITUDE	S2	D4	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D1 785	NIRSCWAMPLITUDE	S3	D1	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D1 830	NIRSCWAMPLITUDE	S3	D1	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D2 785	NIRSCWAMPLITUDE	S3	D2	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D2 830	NIRSCWAMPLITUDE	S3	D2	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D4 785	NIRSCWAMPLITUDE	S3	D4	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S3_D4 830	NIRSCWAMPLITUDE	S3	D4	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S4_D1 785	NIRSCWAMPLITUDE	S4	D1	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S4_D1 830	NIRSCWAMPLITUDE	S4	D1	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S4_D3 785	NIRSCWAMPLITUDE	S4	D3	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S4_D3 830	NIRSCWAMPLITUDE	S4	D3	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S5_D1 785	NIRSCWAMPLITUDE	S5	D1	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S5_D1 830	NIRSCWAMPLITUDE	S5	D1	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S6_D2 785	NIRSCWAMPLITUDE	S6	D2	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S6_D2 830	NIRSCWAMPLITUDE	S6	D2	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S6_D4 785	NIRSCWAMPLITUDE	S6	D4	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S6_D4 830	NIRSCWAMPLITUDE	S6	D4	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S7_D3 785	NIRSCWAMPLITUDE	S7	D3	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S7_D3 830	NIRSCWAMPLITUDE	S7	D3	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S8_D3 785	NIRSCWAMPLITUDE	S8	D3	785.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
S8_D3 830	NIRSCWAMPLITUDE	S8	D3	830.0	V	0.0	3.90625	Near Infrared Spectroscopy (continuous wave)	7.8125	good	n/a	False
