onset	duration	trial_type	value	sample	stim_file
428.672	n/a	block_start	300	3349	n/a
433.664	n/a	fixation_cross	312	3388	n/a
434.688	n/a	animal_image	1	3396	animals/owl_PNG26.png
435.328	n/a	mask	701	3401	n/a
435.968	n/a	blank_white_screen	705	3406	n/a
436.48	n/a	animal_tactile_imagery_task	604	3410	n/a
439.424	n/a	blank_white_screen	705	3433	n/a
439.68	n/a	animal_visual_imagery_task	602	3435	n/a
442.624	n/a	blank_white_screen	705	3458	n/a
442.88	n/a	animal_auditory_imagery_task	603	3460	n/a
445.824	n/a	blank_white_screen	705	3483	n/a
446.08	n/a	animal_silent_naming_task	601	3485	n/a
449.024	n/a	blank_black_screen	706	3508	n/a
451.072	n/a	fixation_cross	312	3524	n/a
452.352	n/a	tool_image	1	3534	tools/scissors_PNG28.png
452.992	n/a	mask	701	3539	n/a
453.504	n/a	blank_white_screen	705	3543	n/a
454.016	n/a	tool_tactile_imagery_task	604	3547	n/a
457.088	n/a	blank_white_screen	705	3571	n/a
457.216	n/a	tool_visual_imagery_task	602	3572	n/a
460.288	n/a	blank_white_screen	705	3596	n/a
460.416	n/a	tool_auditory_imagery_task	603	3597	n/a
463.488	n/a	blank_white_screen	705	3621	n/a
463.616	n/a	tool_silent_naming_task	601	3622	n/a
466.688	n/a	blank_black_screen	706	3646	n/a
468.608	n/a	fixation_cross	312	3661	n/a
469.632	n/a	animal_image	1	3669	animals/crab_PNG37.png
470.272	n/a	mask	701	3674	n/a
470.912	n/a	blank_white_screen	705	3679	n/a
471.296	n/a	animal_tactile_imagery_task	604	3682	n/a
474.368	n/a	blank_white_screen	705	3706	n/a
474.496	n/a	animal_visual_imagery_task	602	3707	n/a
477.568	n/a	blank_white_screen	705	3731	n/a
477.696	n/a	animal_auditory_imagery_task	603	3732	n/a
480.768	n/a	blank_white_screen	705	3756	n/a
480.896	n/a	animal_silent_naming_task	601	3757	n/a
483.968	n/a	blank_black_screen	706	3781	n/a
485.888	n/a	fixation_cross	312	3796	n/a
487.936	n/a	animal_image	1	3812	animals/crow_PNG3114.png
488.576	n/a	mask	701	3817	n/a
489.088	n/a	blank_white_screen	705	3821	n/a
489.6	n/a	animal_tactile_imagery_task	604	3825	n/a
