onset	duration	trial_type	value	sample	stim_file
305.664	n/a	block_start	300	2388	n/a
310.656	n/a	fixation_cross	312	2427	n/a
311.68	n/a	tool_image	1	2435	tools/broom_PNG58.png
312.192	n/a	mask	701	2439	n/a
312.832	n/a	blank_white_screen	705	2444	n/a
313.344	n/a	tool_auditory_imagery_task	603	2448	n/a
316.416	n/a	blank_white_screen	705	2472	n/a
316.544	n/a	tool_silent_naming_task	601	2473	n/a
319.616	n/a	blank_white_screen	705	2497	n/a
319.744	n/a	tool_visual_imagery_task	602	2498	n/a
322.816	n/a	blank_white_screen	705	2522	n/a
322.944	n/a	tool_tactile_imagery_task	604	2523	n/a
326.016	n/a	blank_black_screen	706	2547	n/a
327.936	n/a	fixation_cross	312	2562	n/a
328.96	n/a	animal_image	1	2570	animals/pig_PNG2215.png
329.6	n/a	mask	701	2575	n/a
330.112	n/a	blank_white_screen	705	2579	n/a
330.624	n/a	animal_auditory_imagery_task	603	2583	n/a
333.696	n/a	blank_white_screen	705	2607	n/a
333.824	n/a	animal_silent_naming_task	601	2608	n/a
336.896	n/a	blank_white_screen	705	2632	n/a
337.024	n/a	animal_visual_imagery_task	602	2633	n/a
340.096	n/a	blank_white_screen	705	2657	n/a
340.224	n/a	animal_tactile_imagery_task	604	2658	n/a
343.296	n/a	blank_black_screen	706	2682	n/a
345.216	n/a	fixation_cross	312	2697	n/a
346.368	n/a	animal_image	1	2706	animals/sheep_PNG2718.png
346.88	n/a	mask	701	2710	n/a
347.52	n/a	blank_white_screen	705	2715	n/a
348.032	n/a	animal_auditory_imagery_task	603	2719	n/a
351.104	n/a	blank_white_screen	705	2743	n/a
351.232	n/a	animal_silent_naming_task	601	2744	n/a
354.176	n/a	blank_white_screen	705	2767	n/a
354.432	n/a	animal_visual_imagery_task	602	2769	n/a
357.376	n/a	blank_white_screen	705	2792	n/a
357.632	n/a	animal_tactile_imagery_task	604	2794	n/a
360.576	n/a	blank_black_screen	706	2817	n/a
362.624	n/a	fixation_cross	312	2833	n/a
364.544	n/a	animal_image	1	2848	animals/owl_PNG26.png
365.184	n/a	mask	701	2853	n/a
365.824	n/a	blank_white_screen	705	2858	n/a
366.208	n/a	animal_auditory_imagery_task	603	2861	n/a
369.28	n/a	blank_white_screen	705	2885	n/a
369.408	n/a	animal_silent_naming_task	601	2886	n/a
372.48	n/a	blank_white_screen	705	2910	n/a
372.608	n/a	animal_visual_imagery_task	602	2911	n/a
375.68	n/a	blank_white_screen	705	2935	n/a
375.808	n/a	animal_tactile_imagery_task	604	2936	n/a
378.88	n/a	blank_black_screen	706	2960	n/a
380.8	n/a	fixation_cross	312	2975	n/a
382.208	n/a	animal_image	1	2986	animals/tiger_PNG23242.png
382.848	n/a	mask	701	2991	n/a
383.36	n/a	blank_white_screen	705	2995	n/a
383.872	n/a	animal_auditory_imagery_task	603	2999	n/a
386.944	n/a	blank_white_screen	705	3023	n/a
387.072	n/a	animal_silent_naming_task	601	3024	n/a
390.144	n/a	blank_white_screen	705	3048	n/a
390.272	n/a	animal_visual_imagery_task	602	3049	n/a
393.344	n/a	blank_white_screen	705	3073	n/a
393.472	n/a	animal_tactile_imagery_task	604	3074	n/a
396.544	n/a	blank_black_screen	706	3098	n/a
398.464	n/a	fixation_cross	312	3113	n/a
400.128	n/a	tool_image	1	3126	tools/hand_saw_PNG9540.png
400.768	n/a	mask	701	3131	n/a
401.408	n/a	blank_white_screen	705	3136	n/a
401.92	n/a	tool_auditory_imagery_task	603	3140	n/a
404.864	n/a	blank_white_screen	705	3163	n/a
405.12	n/a	tool_silent_naming_task	601	3165	n/a
408.064	n/a	blank_white_screen	705	3188	n/a
408.32	n/a	tool_visual_imagery_task	602	3190	n/a
411.264	n/a	blank_white_screen	705	3213	n/a
411.52	n/a	tool_tactile_imagery_task	604	3215	n/a
414.464	n/a	blank_black_screen	706	3238	n/a
416.512	n/a	fixation_cross	312	3254	n/a
418.048	n/a	animal_image	1	3266	animals/cow_PNG50606.png
418.688	n/a	mask	701	3271	n/a
419.328	n/a	blank_white_screen	705	3276	n/a
419.712	n/a	animal_auditory_imagery_task	603	3279	n/a
422.784	n/a	blank_white_screen	705	3303	n/a
422.912	n/a	animal_silent_naming_task	601	3304	n/a
425.984	n/a	blank_white_screen	705	3328	n/a
426.112	n/a	animal_visual_imagery_task	602	3329	n/a
429.184	n/a	blank_white_screen	705	3353	n/a
429.312	n/a	animal_tactile_imagery_task	604	3354	n/a
432.384	n/a	blank_black_screen	706	3378	n/a
434.304	n/a	fixation_cross	312	3393	n/a
435.712	n/a	animal_image	1	3404	animals/dog_PNG50396.png
436.224	n/a	mask	701	3408	n/a
436.864	n/a	blank_white_screen	705	3413	n/a
437.376	n/a	animal_auditory_imagery_task	603	3417	n/a
440.32	n/a	blank_white_screen	705	3440	n/a
440.576	n/a	animal_silent_naming_task	601	3442	n/a
443.52	n/a	blank_white_screen	705	3465	n/a
443.776	n/a	animal_visual_imagery_task	602	3467	n/a
446.72	n/a	blank_white_screen	705	3490	n/a
446.976	n/a	animal_tactile_imagery_task	604	3492	n/a
449.92	n/a	blank_black_screen	706	3515	n/a
451.968	n/a	fixation_cross	312	3531	n/a
453.12	n/a	animal_image	1	3540	animals/sheep_PNG2718.png
453.76	n/a	mask	701	3545	n/a
454.4	n/a	blank_white_screen	705	3550	n/a
454.784	n/a	animal_auditory_imagery_task	603	3553	n/a
457.856	n/a	blank_white_screen	705	3577	n/a
457.984	n/a	animal_silent_naming_task	601	3578	n/a
461.056	n/a	blank_white_screen	705	3602	n/a
461.184	n/a	animal_visual_imagery_task	602	3603	n/a
464.256	n/a	blank_white_screen	705	3627	n/a
464.384	n/a	animal_tactile_imagery_task	604	3628	n/a
467.456	n/a	blank_black_screen	706	3652	n/a
469.376	n/a	fixation_cross	312	3667	n/a
471.296	n/a	animal_image	1	3682	animals/cock_PNG21.png
471.936	n/a	mask	701	3687	n/a
472.576	n/a	blank_white_screen	705	3692	n/a
473.088	n/a	animal_auditory_imagery_task	603	3696	n/a
476.032	n/a	blank_white_screen	705	3719	n/a
476.288	n/a	animal_silent_naming_task	601	3721	n/a
479.232	n/a	blank_white_screen	705	3744	n/a
479.488	n/a	animal_visual_imagery_task	602	3746	n/a
